cnv_feature,f_score,p_value
cnv_depth__IBNLCO_03399__IBNLCO_03399__gene,88.05194064828494,8.445660271741632e-18
cnv_depth__IBNLCO_04758__Membrane-bound__CDS,88.000566669283,8.603568201362896e-18
cnv_depth__IBNLCO_04650__Fatty__CDS__promoter,87.9708031421709,8.696412189414079e-18
cnv_depth__IBNLCO_00042__IBNLCO_00042__gene,87.86420629161246,9.037305660496902e-18
cnv_depth__IBNLCO_01841__Putative__CDS,87.81359745859585,9.203842312462637e-18
cnv_depth__IBNLCO_00207__IBNLCO_00207__gene__promoter,87.72605640714563,9.499258367446608e-18
cnv_depth__IBNLCO_03459__DUF692__CDS,87.65097085712279,9.76025772299734e-18
cnv_depth__IBNLCO_01697__hypothetical__CDS__promoter,87.61140090585464,9.900704381388215e-18
cnv_depth__IBNLCO_03282__asnC__gene__promoter,87.29716086727068,1.1090990987770206e-17
cnv_depth__IBNLCO_05830__IBNLCO_05830__gene,87.04703611951993,1.214094403026476e-17
cnv_depth__IBNLCO_05827__Cyclohexanone__CDS,86.8762487345095,1.2914981053660278e-17
cnv_depth__IBNLCO_05853__IBNLCO_05853__gene__promoter,86.85640073584682,1.300810808849023e-17
cnv_depth__unknown__unknown__rep_origin.1,86.65325057725383,1.4001161862488256e-17
cnv_depth__IBNLCO_03434__IBNLCO_03434__gene,86.60669904266936,1.4239294055064467e-17
cnv_depth__IBNLCO_01947__Putative__CDS,86.55852081063122,1.4490054010804585e-17
cnv_depth__IBNLCO_05852__Chromosome__CDS,86.38132026575695,1.5451326494728887e-17
cnv_depth__IBNLCO_04621__nreB__gene,86.30809644504795,1.5867113381467495e-17
cnv_depth__IBNLCO_00177__mrdA__gene,86.21019631902954,1.6440722005361334e-17
cnv_depth__IBNLCO_03284__IBNLCO_03284__gene,86.01957724193859,1.7618353684964188e-17
cnv_depth__IBNLCO_03025__mraZ__gene,85.92588030226574,1.82280630913603e-17
cnv_depth__IBNLCO_01696__Leucine-%2C__CDS__promoter,85.92063400457134,1.8262825034083703e-17
cnv_depth__IBNLCO_03402__ATP__CDS,85.82520483048079,1.8906948158061142e-17
cnv_depth__IBNLCO_00226__fliF__gene,85.78422241399988,1.919056262106385e-17
cnv_depth__IBNLCO_03293__IBNLCO_03293__gene,85.75585492299415,1.938938822658837e-17
cnv_depth__IBNLCO_00022__IBNLCO_00022__gene,85.5554273133161,2.0854701905953152e-17
cnv_depth__IBNLCO_03124__IBNLCO_03124__gene,85.47876511523124,2.144429366658541e-17
cnv_depth__IBNLCO_05669__HTH__CDS,85.43200534863395,2.181214496828711e-17
cnv_depth__IBNLCO_01693__Glycosyl__CDS,85.34135303800014,2.254353713434693e-17
cnv_depth__IBNLCO_00008__Type__CDS__promoter,85.18321193099976,2.3879215219746868e-17
cnv_depth__IBNLCO_03321__Small__CDS__promoter,85.16599395157428,2.402938076853308e-17
cnv_depth__IBNLCO_03440__yceI__gene__promoter,85.05156778808583,2.5051853591356963e-17
cnv_depth__IBNLCO_03318__IBNLCO_03318__gene,85.04430074813884,2.5118253340725175e-17
cnv_depth__IBNLCO_03211__IBNLCO_03211__gene__promoter,84.997167954087,2.5553244838697677e-17
cnv_depth__IBNLCO_03254__NADP-dependent__CDS__promoter,84.87009186179758,2.6764310181045987e-17
cnv_depth__IBNLCO_01876__IBNLCO_01876__gene,84.83857197988908,2.7073567088050463e-17
cnv_depth__IBNLCO_05735__IBNLCO_05735__gene__promoter,84.77882059764038,2.7669752584323283e-17
cnv_depth__IBNLCO_02854__secD__gene,84.65271766552813,2.8971844923865653e-17
