feature,cluster
cnv_depth__IBNLCO_00170__IBNLCO_00170__gene,436
cnv_depth__IBNLCO_00171__IBNLCO_00171__gene__promoter,436
cnv_depth__IBNLCO_00171__IBNLCO_00171__gene,8244
cnv_depth__IBNLCO_00172__IBNLCO_00172__gene__promoter,5278
cnv_depth__IBNLCO_00172__IBNLCO_00172__gene,9273
cnv_depth__IBNLCO_00173__IBNLCO_00173__gene__promoter,6933
cnv_depth__IBNLCO_00173__IBNLCO_00173__gene,7906
cnv_depth__IBNLCO_00174__IBNLCO_00174__gene__promoter,9327
cnv_depth__IBNLCO_00174__IBNLCO_00174__gene,7885
cnv_depth__IBNLCO_00175__hypothetical__CDS__promoter,6746
cnv_depth__IBNLCO_00175__IBNLCO_00175__gene,7329
cnv_depth__IBNLCO_00176__mrdB__gene,6635
cnv_depth__IBNLCO_00176__Peptidoglycan__CDS__promoter,7529
cnv_depth__IBNLCO_00177__mrdA__gene__promoter,9607
cnv_depth__IBNLCO_00178__mreD__gene,7054
cnv_depth__IBNLCO_00179__mreC__gene,5947
cnv_depth__IBNLCO_00178__mreD__gene__promoter,5460
cnv_depth__IBNLCO_00179__mreC__gene__promoter,5627
cnv_depth__IBNLCO_00180__mreB__gene,9189
cnv_depth__IBNLCO_00180__Cell__CDS__promoter,7036
cnv_depth__IBNLCO_00181__IBNLCO_00181__gene__promoter,5157
cnv_depth__IBNLCO_00181__Aspartyl/glutamyl-tRNA(Asn/Gln)__CDS,7320
cnv_depth__IBNLCO_00182__IBNLCO_00182__gene__promoter,8251
cnv_depth__IBNLCO_00182__Glutamyl-tRNA(Gln)__CDS,6330
cnv_depth__IBNLCO_00183__IBNLCO_00183__gene__promoter,5110
cnv_depth__IBNLCO_00183__IBNLCO_00183__gene,8821
cnv_depth__IBNLCO_00184__Polyphosphate__CDS__promoter,8227
cnv_depth__IBNLCO_00184__IBNLCO_00184__gene,9050
cnv_depth__IBNLCO_00185__Exodeoxyribonuclease__CDS__promoter,5962
cnv_depth__IBNLCO_00185__IBNLCO_00185__gene,8258
cnv_depth__IBNLCO_00186__IBNLCO_00186__gene,7200
cnv_depth__IBNLCO_00186__IBNLCO_00186__gene__promoter,367
cnv_depth__IBNLCO_00187__yqhC__gene__promoter,367
cnv_depth__IBNLCO_00187__yqhC__gene,9307
cnv_depth__IBNLCO_00188__IBNLCO_00188__gene,7669
cnv_depth__IBNLCO_00189__ampG__gene,7925
cnv_depth__IBNLCO_00188__hypothetical__CDS__promoter,9543
cnv_depth__IBNLCO_00189__AmpG__CDS__promoter,9449
cnv_depth__IBNLCO_00190__IBNLCO_00190__gene,6946
cnv_depth__IBNLCO_00191__IBNLCO_00191__gene,8869
cnv_depth__IBNLCO_00190__Demethylrebeccamycin-D-glucose__CDS__promoter,8284
cnv_depth__IBNLCO_00191__Homoserine__CDS__promoter,5143
cnv_depth__IBNLCO_00192__slmA__gene,5669
cnv_depth__IBNLCO_00193__HAD__CDS,7809
cnv_depth__IBNLCO_00192__slmA__gene__promoter,7187
cnv_depth__IBNLCO_00194__Acetylglutamate__CDS,5218
cnv_depth__IBNLCO_00193__HAD__CDS__promoter,9119
cnv_depth__IBNLCO_00194__IBNLCO_00194__gene__promoter,8953
cnv_depth__IBNLCO_00195__IBNLCO_00195__gene__promoter,8888
cnv_depth__IBNLCO_00195__hypothetical__CDS,847
cnv_depth__IBNLCO_00196__histidine__CDS__promoter,847
cnv_depth__IBNLCO_00197__Response__CDS__promoter,8415
cnv_depth__IBNLCO_00197__Response__CDS,4989
cnv_depth__IBNLCO_00198__ATP-dependent__CDS,7903
cnv_depth__IBNLCO_00198__hslU__gene__promoter,6210
cnv_depth__IBNLCO_00199__clpQ__gene,8581
cnv_depth__IBNLCO_00199__clpQ__gene__promoter,5635
cnv_depth__IBNLCO_00200__RNA__CDS,5061
cnv_depth__IBNLCO_00200__dksA__gene__promoter,8947
cnv_depth__IBNLCO_00201__cobW__gene,6328
cnv_depth__IBNLCO_00201__cobW__gene__promoter,6453
cnv_depth__IBNLCO_00202__PUA__CDS,6641
cnv_depth__IBNLCO_00202__IBNLCO_00202__gene__promoter,8863
cnv_depth__IBNLCO_00203__Tyrosine__CDS,9171
cnv_depth__IBNLCO_00203__Tyrosine__CDS__promoter,5223
cnv_depth__IBNLCO_00204__3'%2C5'-cyclic-nucleotide__CDS,8641
cnv_depth__IBNLCO_00204__3'%2C5'-cyclic-nucleotide__CDS__promoter,5591
cnv_depth__IBNLCO_00205__IBNLCO_00205__gene,8867
cnv_depth__IBNLCO_00205__IBNLCO_00205__gene__promoter,5119
cnv_depth__IBNLCO_00206__IBNLCO_00206__gene,6349
cnv_depth__IBNLCO_00206__IBNLCO_00206__gene__promoter,85
cnv_depth__IBNLCO_00207__IBNLCO_00207__gene__promoter,85
cnv_depth__IBNLCO_00208__IBNLCO_00208__gene,6697
cnv_depth__IBNLCO_00208__Integron__CDS__promoter,5090
cnv_depth__IBNLCO_00209__Ectoine__CDS__promoter,8561
cnv_depth__IBNLCO_00209__IBNLCO_00209__gene,8355
cnv_depth__IBNLCO_00210__IBNLCO_00210__gene,8431
cnv_depth__IBNLCO_00211__IBNLCO_00211__gene__promoter,9150
cnv_depth__IBNLCO_00210__IBNLCO_00210__gene__promoter,7100
cnv_depth__IBNLCO_00211__IBNLCO_00211__gene,5001
cnv_depth__IBNLCO_00212__IBNLCO_00212__gene,5783
cnv_depth__IBNLCO_00212__IBNLCO_00212__gene__promoter,6429
